	Name_in_tree	Taxon	Clade	Subclade	Subclade_2	Max_age	Min_age	FL	FC	FML	FAP	HL	HC	HML	HAP	Juvenile	Bonebed
45	not	Australodocus_bohetii	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Tithonian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
46	not	Austrosaurus_mckillopi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Albian	Late_Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
47	not	Baotianmansaurus_henanensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Cretaceous	Late_Cretaceous	NA	NA	NA	NA	NA	NA	NA	NA	0	0
48	Barapasaurus	Barapasaurus_tagorei	Sauropodomorpha	Eusauropoda	Eusauropoda	Early_Jurassic	Early_Jurassic	1365	NA	NA	NA	NA	NA	NA	NA	0	1
49	Barosaurus	Barosaurus_lentus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1440	540	202	120	1034	440	151	NA	1	0
50	not	Barrosasaurus_casamiquelai	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
51	not	Baurutitan_britoi	Sauropodomorpha	Titanosauria	Titanosauria	Late_Maastrichtian	Late_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
52	not	Bellusaurus_sui	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Oxfordian	550	NA	NA	NA	370	NA	NA	51.5	1	1
53	not	Blikanasaurus_cromptoni	Sauropodomorpha	Sauropoda	Sauropoda	Norian	Rhaetian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
54	not	Bonatitan_reigi	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	585	232	NA	NA	363	154	NA	NA	1	0
55	not	Bonitasaura_salgadoi	Sauropodomorpha	Titanosauria	Titanosauria	Santonian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	1	0
56	not	Borealosaurus_wimani	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Cenomanian	Turonian	NA	NA	NA	NA	NA	NA	110	NA	0	0
57	French_Bothriospondylus	Bothriospondylus_from_France	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Oxfordian	Late_Oxfordian	1460	NA	235	NA	1330	NA	162	NA	1	0
58	Brachiosaurus	Brachiosaurus_altithorax	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Kimmeridgian	Tithonian	2030	940	365	NA	2040	NA	284	NA	0	0
59	Brachytrachelopan	Brachytrachelopan_mesai	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Tithonian	Tithonian	NA	580	NA	NA	NA	NA	NA	NA	0	0
60	Camarasaurus_lewisi	Camarasaurus_lewisi	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	NA	NA	NA	NA	1018	450	149	NA	0	0
61	Camarasaurus_grandis	Camarasaurus_grandis	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	1485	630	228	NA	1130	472	NA	NA	0	0
62	Camarasaurus_lentus	Camarasaurus_lentus	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	750	356	133	NA	545	270	95	NA	1	0
63	Camarasaurus_supremus	Camarasaurus_supremus	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
64	Camelotia	Camelotia_borealis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_3	Rhaetian	Rhaetian	1008	340	NA	NA	NA	NA	NA	NA	0	0
65	not	Cardiodon_rugulosus	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Bathonian	Late_Bathonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
66	Cathartesaura	Cathartesaura_anaerobica	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Cenomanian	Turonian	1380	NA	226.8	101.1	NA	NA	NA	NA	0	0
67	Cedarosaurus	Cedarosaurus_weiskopfae	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Barremian	Barremian	1395	590	NA	NA	1380	445	185	NA	0	0
68	Cetiosauriscus	Cetiosauriscus_stewarti	Sauropodomorpha	Eusauropoda	Eusauropoda	Middle_Callovian	Middle_Callovian	1360	535	195	145	940	507	180	135	0	0
69	Cetiosaurus	Cetiosaurus_oxoniensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Middle_Bathonian	Middle_Bathonian	1615	683	NA	NA	1260	594	NA	NA	0	0
70	not	Chinshakiangosaurus_chunghoensis	Sauropodomorpha	Sauropoda	Sauropoda	Early_Jurassic	Early_Jurassic	NA	NA	NA	NA	NA	NA	NA	NA	0	0
71	Chromogisaurus	Chromogisaurus_novasi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Carnian	Carnian	NA	56	NA	19.7	NA	NA	NA	NA	0	0
72	not	Chuanjiesaurus_anaensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Early_Kimmeridgian	1360	NA	197	NA	1042	NA	157	NA	0	0
73	Chuanjiesaurus	Chuanjiesaurus_anaensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Early_Kimmeridgian	1375	NA	225	NA	1065	NA	167	NA	0	0
74	Chubutisaurus	Chubutisaurus_insignis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Aptian	Aptian	1700	710	282	NA	1460	599	217	NA	0	0
75	Chuxiongosaurus	Chuxiongosaurus_lufengensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Hettangian	Sinemurian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
76	Coloradisaurus	Coloradisaurus_brevis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Norian	Norian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
77	Comahuesaurus	Comahuesaurus_windhauseni	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Aptian	Aptian	1217	555	204	130	696	402	140	73	0	1
78	not	Daanosaurus_zhangi	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Jurassic	Late_Jurassic	NA	NA	NA	NA	NA	NA	NA	NA	1	0
79	not	Dashanpusaurus_dongi	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1114	468	170	112	921	413	141	77	0	0
80	Datousaurus	Datousaurus_bashanensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
81	Daxiatitan	Daxiatitan_binglingi	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cretaceous	Early_Cretaceous	1770	NA	303	NA	NA	NA	NA	NA	0	0
82	Demandasaurus	Demandasaurus_darwini	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Barremian	Early_Aptian	1080	NA	135	65	NA	NA	NA	NA	0	0
83	not	Diamantinasaurus_matildae	Sauropodomorpha	Titanosauria	Titanosauria	Late_Albian	Late_Albian	1330	635	NA	NA	1110	567	204	123	0	0
84	Dicraeosaurus_sattleri	Dicraeosaurus_sattleri	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Kimmeridgian	Tithonian	1205	555	NA	NA	735	337	NA	NA	0	0
85	not	Dinheirosaurus_lourinhanensis	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Kimmeridgian	Late_Kimmeridgian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
86	Diplodocus_longus	Diplodocus_longus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1575	563	208	NA	1032	460	162	NA	0	0
87	Diplodocus_hayi	Diplodocus_hayi	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1448	590	227	NA	936	470	188	NA	0	0
88	Diplodocus_carnegiei	Diplodocus_carnegiei	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1520	591	NA	174	965	406	NA	NA	0	0
89	not	Diplodocus_lacustris	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
90	Diplodocus_hallorum	Diplodocus_hallorum	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	NA	732	280	165	NA	NA	NA	NA	0	0
91	Dongbeititan	Dongbeititan_dongi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Barremian	Barremian	1160	NA	220	NA	NA	NA	NA	NA	0	0
92	not	Dongyangosaurus_sinensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Cenomanian	Cenomanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
93	not	Dystrophaeus_viaemalae	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Oxfordian	Oxfordian	NA	NA	NA	NA	765	NA	80	78	0	0
94	Efraasia	Efraasia_diagnostica	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Norian	Norian	230	82	22	NA	175	58	NA	NA	1	0
95	not	Elaltitan_lilloi	Sauropodomorpha	Titanosauria	Titanosauria	Middle_Cenomanian	Middle_Cenomanian	NA	NA	317	180	1300	660	260	132	0	0
96	not	Eomamenchisaurus_yuanmouensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Middle_Jurassic	Middle_Jurassic	1100	420	NA	NA	NA	NA	NA	NA	0	0
97	Epachthosaurus	Epachthosaurus_sciuttoi	Sauropodomorpha	Titanosauria	Titanosauria	Cenomanian	Cenomanian	1095	550	230	NA	935	425	160	NA	0	0
98	Erketu	Erketu_ellisoni	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Turonian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
99	Eucnemesaurus	Eucnemesaurus_fortis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Norian	Rhaetian	NA	237	NA	NA	NA	NA	NA	NA	0	0
100	Euhelopus	Euhelopus_zdanskyi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Barremian	Aptian	NA	375	140	88	910	358	175	NA	0	0
101	Europasaurus	Europasaurus_holgeri	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Kimmeridgian	Kimmeridgian	510	200	NA	NA	450	190	NA	NA	0	0
102	Ferganasaurus	Ferganasaurus_verzilini	Sauropodomorpha	Eusauropoda	Eusauropoda	Callovian	Callovian	1080	NA	180	121	890	NA	132	90	0	0
103	not	Fukuititan_nipponensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Barremian	Barremian	1140	NA	165	96	910	NA	140	88	0	0
104	not	Fusuisaurus_zhaoi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Early_Cretaceous	Early_Cretaceous	NA	NA	NA	NA	NA	NA	NA	NA	0	0
105	Futalognkosaurus	Futalognkosaurus_dukei	Sauropodomorpha	Titanosauria	Titanosauria	Late_Turonian	Early_Coniacian	1945	800	NA	NA	1510	643	NA	NA	0	0
106	Galveosaurus	Galveosaurus_herreroi	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Tithonian	Late_Tithonian	NA	NA	NA	NA	1530	NA	240	NA	0	0
107	Giraffatitan	Giraffatitan_brancai	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Kimmeridgian	Tithonian	NA	730	NA	NA	2130	654	240	146	0	0
108	Glacialisaurus	Glacialisaurus_hammeri	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Early_Jurassic	Early_Jurassic	NA	NA	NA	NA	NA	NA	NA	NA	0	0
109	Gobititan	Gobititan_shenzhouensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Albian	Albian	NA	655	240	185	NA	NA	NA	NA	0	0
110	Gondwanatitan	Gondwanatitan_faustoi	Sauropodomorpha	Titanosauria	Titanosauria	Turonian	Santonian	NA	NA	NA	NA	715	NA	111	50	0	0
111	Gongxianosaurus	Gongxianosaurus_shibeiensis	Sauropodomorpha	Sauropoda	Sauropoda	Toarcian	Toarcian	1150	NA	270	NA	920	NA	NA	NA	0	0
112	not	Haplocanthosaurus_delfsi	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	1745	755	NA	NA	NA	NA	NA	NA	0	0
113	Haplocanthosaurus_priscus	Haplocanthosaurus_priscus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1275	518	207	NA	NA	NA	NA	NA	0	0
114	not	Histriasaurus_boscarollii	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Hauterivian	Early_Barremian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
115	not	Huabeisaurus_allocotus	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Cretaceous	Late_Cretaceous	1560	645	245	145	NA	NA	NA	NA	0	0
116	not	Huanghetitan_liujiaxiaensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Cenomanian	Turonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
117	not	Hudiesaurus_sinojapanorum	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Jurassic	Late_Jurassic	NA	NA	NA	NA	1210	NA	NA	NA	0	0
118	not	Ignavusaurus_rachelis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	152.7	NA	NA	NA	NA	NA	NA	NA	1	0
119	Isanosaurus	Isanosaurus_attavipachi	Sauropodomorpha	Sauropoda	Sauropoda	Norian	Rhaetian	760	330	129	79	NA	NA	NA	NA	0	0
120	Isisaurus	Isisaurus_colberti	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	NA	NA	NA	NA	1480	NA	210	NA	0	0
121	not	Jainosaurus_septentrionalis	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	1288	527	206	111	952	419	144	109	0	0
122	not	Jainosaurus_septentrionalis	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	NA	NA	NA	NA	NA	577	215	119	0	0
123	Janenschia	Janenschia_robusta	Sauropodomorpha	Macronaria	Macronaria	Late_Kimmeridgian	Tithonian	1230	568	222	125	890	425	148	100	0	1
124	not	Jiangshanosaurus_lixianensis	Sauropodomorpha	Titanosauria	Titanosauria	Albian	Albian	NA	NA	250	NA	NA	NA	NA	NA	0	0
125	Jingshanosaurus	Jingshanosaurus_xinwaensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Hettangian	Sinemurian	845	NA	121	109	450	NA	82	73	0	0
126	not	Jiutaisaurus_xidensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Albian	Early_Cenomanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
127	not	Jobaria_tiguidensis	Sauropodomorpha	Macronaria	Macronaria	Middle_Jurassic	Late_Jurassic	1416	580	NA	NA	1005	412	NA	NA	0	0
128	Jobaria	Jobaria_tiguidensis	Sauropodomorpha	Macronaria	Macronaria	Middle_Jurassic	Late_Jurassic	1800	NA	NA	200	1360	NA	206	157	0	0
129	not	Karongasaurus_gittlemani	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cretaceous	Early_Cretaceous	NA	NA	NA	NA	NA	NA	NA	NA	0	0
130	Klamelisaurus	Klamelisaurus_gobiensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Oxfordian	1200	NA	195	NA	920	NA	143	NA	0	0
131	Kotasaurus	Kotasaurus_yamanpalliensis	Sauropodomorpha	Sauropoda	Sauropoda	Early_Jurassic	Early_Jurassic	1170	NA	160	80	750	NA	110	70	0	1
132	not	Kunmingosaurus	Sauropodomorpha	Sauropoda	Sauropoda	NA	NA	880	NA	120	105	NA	NA	NA	NA	0	0
133	Lamplughsaura	Lamplughsaura_dharmarensis	Sauropodomorpha	Sauropoda	Sauropoda	Sinemurian	Sinemurian	630	NA	80	NA	535	NA	60	NA	0	0
134	not	Laplatasaurus_araukanicus	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
135	not	Lapparentosaurus_madagascariensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Bathonian	Bathonian	611	231	87	60	505	202	66	58	1	1
136	Lessemsaurus	Lessemsaurus_sauropoides	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_3	Norian	Norian	760	NA	100	82	485	NA	52	NA	0	1
137	Leonerasaurus	Leonerasaurus_taquetrensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Early_Jurassic	Early_Jurassic	NA	NA	NA	NA	NA	NA	NA	NA	0	0
138	Leyesaurus	Leyesaurus_marayensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
139	Ligabuesaurus	Ligabuesaurus_leanzai	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Early_Albian	Early_Albian	1660	640	250	NA	1490	510	180	NA	0	0
140	Limaysaurus	Limaysaurus_tessonei	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Early_Cenomanian	Early_Cenomanian	1440	NA	220	NA	900	NA	139	76	0	0
141	Lirainosaurus	Lirainosaurus_astibiae	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Campanian	680	NA	90	51	550	NA	96	39	0	1
142	not	Losillasaurus_giganteus	Sauropodomorpha	Eusauropoda	Eusauropoda	Middle_Tithonian	Early_Berriasian	NA	NA	NA	NA	1430	NA	265	158	0	0
143	Lourinhasaurus	Lourinhasaurus_alenquerensis	Sauropodomorpha	Macronaria	Macronaria	Late_Kimmeridgian	Early_Tithonian	1740	785	300	199	1500	547	185	155	0	0
144	Lufengosaurus	Lufengosaurus_magnus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	740	365	115	NA	430	NA	75	NA	0	0
145	Lusotitan	Lusotitan_atalaiensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Kimmeridgian	Early_Tithonian	NA	NA	NA	NA	2050	NA	230	140	0	0
146	Magyarosaurus	Magyarosaurus_dacus	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	475	180	NA	NA	410	165	NA	NA	0	0
147	Malarguesaurus	Malarguesaurus_florenciae	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Turonian	Early_Coniacian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
148	Malawisaurus	Malawisaurus_dixeyi	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cretaceous	Early_Cretaceous	NA	NA	185	NA	722	NA	110	NA	0	1
149	Mamenchisaurus_constructus	Mamenchisaurus_constructus	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Early_Kimmeridgian	1230	580	NA	NA	970	509	185	NA	0	0
150	Mamenchisaurus_youngi	Mamenchisaurus_youngi	Sauropodomorpha	Eusauropoda	Eusauropoda	Oxfordian	Early_Kimmeridgian	1125	419	150	100	835	328	110	80	0	0
151	Massospondylus	Massospondylus_carinatus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	NA	209	NA	NA	275	137	NA	NA	0	0
152	not	Maxakalisaurus_topai	Sauropodomorpha	Titanosauria	Titanosauria	Turonian	Santonian	NA	NA	NA	NA	NA	NA	134	76	0	0
153	Melanorosaurus	Melanorosaurus_readi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_3	Norian	Rhaetian	638	NA	101	NA	450	NA	NA	NA	0	0
154	Mendozasaurus	Mendozasaurus_neguyelap	Sauropodomorpha	Titanosauria	Titanosauria	Late_Coniacian	Early_Santonian	NA	NA	NA	NA	1060	NA	145	NA	0	0
